Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.009201542,0.499230302,0.854976364,-0.771586883,1.255213845
0.019264292,0.781856056,0.764629281,-1.28444266,1.686935024
0.029326292,0.963847573,0.810162719,-1.343895979,1.841581434
0.039389292,1.032198747,0.866305929,-1.18740987,1.7960686
0.049452292,0.997106682,0.87948263,-1.036362256,1.685751511
0.059514292,0.918789075,0.912632834,-0.785037233,1.514382882
0.069577292,0.939830573,1.071012856,-0.585515032,1.540512219
0.079639292,0.954867858,1.1455555,-0.47826014,1.566142647
0.089702292,0.918114307,1.157903066,-0.335986274,1.515440585
0.099765292,0.956329881,1.171855107,-0.259608189,1.534668578
0.109827292,0.976206248,1.150389978,-0.207573817,1.522978211
0.119890292,0.901783179,1.05342794,-0.140532566,1.393797952
0.129952292,0.491141703,0.742021607,0.044007899,0.890928129
0.140015292,-0.206946703,0.390357778,0.534741905,0.693653399
0.150077292,0.231687222,0.766272933,0.465698567,0.926136239
0.160140292,0.251558254,0.274538469,0.556109385,0.669261215
0.170203292,0.05459633,-0.333935655,0.936480119,0.995735303
0.180265292,0.409109872,-0.228568245,1.010328113,1.113722239
0.190328292,0.822965124,-0.131170589,0.854951806,1.193909507
0.200390292,0.93273717,-0.210463511,0.199211129,0.976718276
0.210453292,0.729766427,-0.212097223,-0.663387081,1.008774846
0.220516292,0.650597832,-0.109929408,-1.230799134,1.396505826
0.230578292,0.624215999,-0.23325011,-1.708479815,1.833836008
0.240641292,0.540841355,-0.239041777,-2.075300796,2.15789799
0.250703292,0.516757148,-0.289907876,-2.225377187,2.302908629
0.260766292,0.358850349,-0.50076315,-2.113719926,2.201669647
0.270829292,0.20518099,-0.711155909,-1.789035151,1.936101427
0.280891292,0.260410061,-0.873584543,-1.493903958,1.750060682
0.290954292,0.3410667,-1.040982434,-1.243244348,1.656993491
0.301016292,0.252631145,-1.244886246,-0.116648444,1.275606177
0.311079292,-0.69283037,-0.87601143,-0.608190535,1.271733335
0.321141292,-1.531017259,-0.77450786,-0.25935325,1.735263778
0.331204292,-2.738560408,-0.770659222,1.715560793,3.322164592
0.341267292,-3.178007608,0.002807833,1.223745053,3.40547973
0.351329292,-0.479178811,0.60619985,0.277905296,0.821171081
0.361392292,0.940678346,0.654356349,-0.735462785,1.361603279
0.371454292,0.363857173,0.09063155,-0.286831656,0.472100116
0.381517292,-0.073720964,-0.028971199,0.2373876,0.250253838
0.391580292,-0.696466023,0.079706905,0.40253402,0.808363624
0.401642292,-0.926223591,0.099780981,0.532707074,1.073137088
0.411705292,-0.794810708,0.175459739,0.432810318,0.921864932
0.421767292,-0.614816088,0.822619042,0.273702902,1.062833096
0.431830292,-0.496157517,1.10838592,0.051454328,1.215458423
0.441893292,-0.014103923,0.524796376,-0.277197783,0.593673957
0.451955292,0.180315705,0.320068983,-0.105478508,0.382208874
0.462018292,0.471961666,0.093557497,0.508613037,0.700134302
0.472080292,0.688312007,-0.121524729,0.876453772,1.121032066
0.482143292,0.623492698,-0.018522225,0.698240579,0.936283143
0.492206292,0.157127676,0.09307247,0.208377224,0.277078796
0.502268292,-0.37860524,0.093731452,-0.283354901,0.482096995
0.512331292,-0.580179594,0.096961454,-0.7095374,0.921657858
0.522393292,-0.702124885,0.076149167,-1.1301323,1.332657895
0.532456292,-0.844350731,-0.075329679,-1.374018495,1.614475005
0.542519292,-0.611545155,-0.04290453,-1.013819486,1.184760831
0.552581292,-0.441448994,0.038603318,-0.006094553,0.443175557
0.562644292,-0.159043389,-0.12381713,0.109165762,0.229221825
0.572706292,-0.120965187,-0.040585816,-0.094106843,0.158543
0.582769292,-0.417808774,0.135517701,-0.343697582,0.557725064
0.592831292,-0.674040927,0.126698931,-0.67665032,0.963451839
0.602894292,-0.834514764,-0.122109451,-0.926961436,1.253229075
0.612957292,-0.936980494,-0.087099832,-0.841186291,1.262185883
0.623019292,-0.923808764,0.146658986,-0.400829557,1.017642287
0.633082292,-0.509346424,0.055533346,0.28843847,0.5879749
0.643144292,-0.397955796,-0.034704687,0.939877351,1.021245644
0.653207292,-0.420686189,-0.24214928,1.113885811,1.215053391
0.663270292,-0.453653157,-0.328135802,0.996969565,1.143425819
0.673332292,-0.734059307,-0.168268248,0.735132417,1.052414814
0.683395292,-0.968449478,-0.090761358,0.391521959,1.048533004
0.693457292,-1.047360504,-0.018318742,0.198193129,1.066105115
0.703520292,-1.078470541,0.192104423,0.150254731,1.105703081
0.713583292,-1.070102372,0.504619096,0.304256943,1.221610333
0.723645292,-0.820542842,0.311783771,0.057650623,0.879672252
0.733708292,-0.494402695,0.36482825,0.024776407,0.614937027
0.743770292,-0.434329571,0.676594187,0.370568461,0.885292525
0.753833292,-0.300794222,0.9157456,0.683781,1.181788315
0.763895292,-0.281476337,0.846967725,0.922788863,1.28379225
0.773958292,-0.332030779,0.703198434,1.08960174,1.338642755
0.784021292,-0.40421831,0.713699156,1.216548885,1.467225312
0.794083292,-0.671808972,0.913252054,1.280652494,1.710388091
0.804146292,-0.617945737,0.714589687,1.225767605,1.547579263
0.814208292,-0.681727458,0.874428881,1.1915994,1.627663149
0.824271292,-0.62521675,1.077829248,1.076803354,1.646850732
0.834334292,-0.320790384,0.985459028,0.800517152,1.309528036
0.844396292,-0.156264353,0.988008414,0.677206391,1.207968406
0.854459292,-0.108233716,1.055167194,0.74612986,1.296843134
0.864521292,-0.173559979,1.014144299,0.886895145,1.358379447
0.874584292,-0.313440287,0.860579751,0.967311317,1.332116176
0.884647292,-0.410377767,0.546334594,1.021080558,1.22861585
0.894709292,-0.372008923,0.082157473,1.17439046,1.234638992
0.904772292,-0.369350194,-0.32680176,1.468353964,1.548961691
0.914834292,-0.412223733,-0.562187566,1.758347209,1.891498922
0.924897292,-0.287706399,-0.850316426,1.899469174,2.100903648
0.934960292,-0.195794528,-1.017815765,1.937611731,2.197412945
0.945022292,-0.055581293,-1.063134903,1.768418453,2.064133941
0.955085292,-0.056753514,-1.118410386,1.442077162,1.825828386
0.965147292,-0.269382906,-1.066823911,0.981530576,1.474477087
0.975210292,-0.230036188,-1.114810256,0.473534421,1.232863902
0.985273292,-0.467015945,-0.555512969,0.389118168,0.823475258
0.995335292,-0.349372597,-0.511276736,-0.20284108,0.651620761
1.005398292,-0.045690764,-0.820274309,-0.796974909,1.144598879
1.015460292,-0.238033279,-0.715507992,-0.954294246,1.216260267
1.025523583,-0.213238161,-0.584145615,-0.97790121,1.158873327
1.035585583,-0.246007565,-0.46107839,-0.770040295,0.930631538
1.045648583,-0.014233146,-0.453355095,-0.600579214,0.752614654
1.055711583,0.486540931,-0.585710914,-0.516241899,0.919937525
1.065773583,0.780565721,-0.819712976,-0.304276823,1.172090694
1.075836583,0.664512085,-0.765310482,-0.073576099,1.016213505
1.085898583,0.336978108,-0.515447263,0.154213296,0.634840032
1.095961583,0.428796058,-0.635340326,-0.145369967,0.780163968
1.106024583,0.539710576,-0.918009934,-0.322230699,1.112592634
1.116086583,0.310692681,-0.885005033,-0.316396932,0.98988427
1.126149583,0.131906424,-0.792644461,-0.495664378,0.944122726
1.136211583,0.094608973,-0.891444864,-0.645499864,1.104669578
1.146274583,0.191804461,-1.043087139,-0.444970772,1.150138565
1.156337583,0.421135329,-0.975106533,-0.085888581,1.065628718
1.166399583,0.455901265,-0.67017336,0.098133236,0.816460916
1.176462583,0.442513041,-0.567152729,0.113582164,0.728272557
1.186524583,0.363742239,-0.261886556,0.22194218,0.500151293
1.196587583,0.469512706,-0.346359819,-0.395220907,0.704703392
1.206650583,0.334353293,-0.367437277,-0.630064384,0.802361144
1.216712583,0.161911594,-0.149905652,-0.949807677,0.975100863
1.226775583,0.172505872,-0.055100652,-1.213980787,1.227413423
1.236837583,0.235767483,-0.005696942,-1.264303095,1.286110834
1.246900583,0.347061631,0.024971119,-1.202757642,1.252078782
1.256962583,0.496530789,0.04654676,-1.018962112,1.134457232
1.267025583,0.652265531,0.185255579,-0.724667655,0.992427913
1.277088583,0.618447136,0.440579221,-0.711119072,1.040325547
1.287150583,0.629303661,0.442454131,-0.843811691,1.141843652
1.297213583,0.629980769,0.366244445,-0.908947919,1.164988018
1.307275583,0.494597699,0.314724044,-0.920672756,1.09147443
1.317338583,0.40294391,0.301161427,-0.915062937,1.044223242
1.327401583,0.232069411,0.417295316,-0.754120665,0.892574686
1.337463583,0.332451778,0.326893269,-0.498492676,0.682552813
1.347526583,0.402328783,0.292196184,-0.26374217,0.562856102
1.357588583,0.338703767,0.346986641,-0.070034441,0.489923253
1.367651583,0.338928593,0.41572797,-0.03755842,0.537692264
1.377714583,0.379345863,0.538145861,-0.040349296,0.6596456
1.387776583,0.519076483,0.683417595,-0.018011178,0.858384767
1.397839583,0.747280008,0.83339663,0.07437249,1.121832706
1.407901583,0.734604121,1.10576169,0.230214821,1.347349618
1.417964583,0.687407735,1.102336098,0.398654392,1.358896461
1.428027583,0.558577641,1.101761317,0.552186488,1.353069436
1.438089583,0.393132574,1.044415627,0.743509723,1.340956349
1.448152583,0.231560996,0.984170009,0.876303499,1.337953259
1.458214583,0.171482755,0.999264304,1.033681308,1.447906258
1.468277583,0.169102646,1.023473824,1.160324398,1.556421241
1.478340583,0.080487947,1.067019793,1.257091139,1.650844535
1.488402583,-0.182157286,1.213570313,1.309409686,1.794571789
1.498465583,-0.425810762,1.316134568,1.052897598,1.738424102
1.508527583,-0.515811836,1.209734832,0.72774446,1.503040988
1.518590583,-0.623277082,1.214852315,0.540919488,1.468650524
1.528653583,-0.403739423,1.064879127,0.511101612,1.248277988
1.538715583,-0.276666125,1.139995383,0.584988198,1.310856518
1.548778583,-0.102045461,1.091895018,0.719984035,1.311878431
1.558840583,0.100208412,0.850121129,0.847000178,1.20422463
1.568903583,0.175826798,0.555791589,0.921396641,1.090316983
1.578965583,0.168460037,0.216087655,0.900946004,0.941688038
1.589028583,0.085522399,-0.125821263,0.86907634,0.882291764
1.599091583,-0.029468359,-0.400819616,0.767031902,0.865946123
1.609153583,-0.131651522,-0.63699158,0.648459139,0.918471367
1.619216583,-0.099455876,-0.869289179,0.63972223,1.083881764
1.629278583,0.048013242,-0.984568205,0.682556008,1.198983956
1.639341583,-0.077477069,-0.967304885,0.587594887,1.134437829
1.649404583,-0.383125211,-0.869876824,0.307565882,0.999033227
1.659466583,-0.676949259,-0.810848597,-0.097095355,1.060737128
1.669529583,-0.888226702,-0.801523458,-0.438889083,1.27436657
1.679591583,-0.944661689,-0.759727268,-0.614091545,1.358925919
1.689654583,-0.875881184,-0.622422073,-0.596268647,1.228866707
1.699717583,-0.830098216,-0.514593569,-0.508223028,1.100981487
1.709779583,-0.704833169,-0.424469265,-0.439604782,0.932853856
1.719842583,-0.613029106,-0.440033968,-0.404159546,0.856025418
1.729904583,-0.524518048,-0.538518621,-0.390161896,0.846963868
1.739967583,-0.489009844,-0.747177097,-0.380270746,0.970572039
1.750030583,-0.42283643,-0.954973692,-0.31961524,1.092208451
1.760092583,-0.34451166,-1.111864429,-0.198420585,1.180805454
1.770155583,-0.317457909,-1.191620742,-0.085375196,1.236134476
1.780217583,-0.308976523,-1.232084059,0.00651029,1.270251946
1.790280583,-0.268209005,-1.256342988,0.110361518,1.289384907
1.800343583,-0.298423761,-1.29023725,0.138115911,1.331482222
1.810405583,-0.372931906,-1.23729539,0.006178753,1.292291092
1.820468583,-0.459039904,-1.062908031,-0.193986057,1.173934285
1.830530583,-0.420796044,-0.97146401,-0.413525031,1.136580215
1.840593583,-0.374287364,-0.866404747,-0.631535543,1.135599119
1.850656583,-0.335722126,-0.711861084,-0.776334822,1.105509522
1.860718583,-0.364555623,-0.608296954,-0.95053741,1.185937331
1.870781583,-0.375497518,-0.450061358,-0.98862091,1.149314977
1.880843583,-0.373179536,-0.416446593,-0.90897657,1.067206229
1.890906583,-0.380018,-0.483559472,-0.81421367,1.02038588
1.900969583,-0.386882193,-0.570247368,-0.624575018,0.930028948
1.911031583,-0.363295548,-0.638820297,-0.410735325,0.841889859
1.921094583,-0.318081076,-0.640385304,-0.251647789,0.75802079
1.931156583,-0.263792749,-0.593082499,-0.145997958,0.665318622
