"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.456991668E-2,2.846769565E-1,-8.485947132E-2,1.958051258E-1,3.557832862E-1
2.453691667E-2,3.116723818E-1,6.721900642E-2,3.451143622E-2,3.207009629E-1
3.450291668E-2,3.889316422E-1,-1.082679221E-1,-1.281417310E-1,4.235682572E-1
4.446991667E-2,3.258431089E-1,3.832615972E-2,3.544699073E-2,3.299986595E-1
5.443691666E-2,2.790048650E-1,8.698610365E-2,-1.509294999E-1,3.289224998E-1
6.440291667E-2,3.092694685E-1,1.359407473E-1,-1.597751677E-2,3.382052216E-1
7.436991666E-2,2.756225431E-1,4.535334349E-2,-4.637075901E-2,2.831518309E-1
8.433691668E-2,3.675308329E-1,-6.727484733E-2,-1.184295058E-2,3.738249238E-1
9.430291667E-2,4.431248063E-1,-1.021163589E-1,6.827735245E-2,4.598359942E-1
1.042699167E-1,3.252519554E-1,1.487940967E-2,1.119426048E-1,3.442983852E-1
1.142369167E-1,1.983051029E-1,1.463043523E-1,9.982600451E-2,2.658855177E-1
1.242029167E-1,2.548380303E-1,1.433959472E-1,1.657492679E-1,3.361214650E-1
1.341699167E-1,3.104237089E-1,1.658173880E-1,1.759041274E-1,3.934470069E-1
1.441369167E-1,2.983047697E-1,2.372373265E-1,1.011527377E-1,3.943338193E-1
1.541029167E-1,2.867725986E-1,3.176105216E-1,1.002481735E-1,4.395050205E-1
1.640699167E-1,3.358713761E-1,3.229703718E-1,2.002560264E-1,5.071705024E-1
1.740369167E-1,4.272753435E-1,2.262308201E-1,1.992438734E-1,5.229175119E-1
1.840029167E-1,3.887880930E-1,2.000382176E-1,1.903327167E-1,4.768626771E-1
1.939699167E-1,3.106339163E-1,1.872719917E-1,2.366485119E-2,3.634890012E-1
2.039369167E-1,2.586167935E-1,9.931700438E-2,-1.140154427E-1,2.995764250E-1
2.139039167E-1,2.331518769E-1,-9.533885121E-4,-1.348964345E-1,2.693654668E-1
2.238655417E-1,2.179116940E-1,-7.409620911E-2,-2.220871907E-1,3.198413277E-1
2.338325417E-1,1.017131934E-1,-1.318781018E-2,-1.889422488E-1,2.149852679E-1
2.437995417E-1,1.458713660E-1,2.347013891E-2,-2.104079622E-1,2.571007845E-1
2.537655417E-1,2.950607345E-1,-1.086599779E-1,-4.459677225E-1,5.456693480E-1
2.637325417E-1,1.912755802E-1,-6.901088566E-2,-3.102807444E-1,3.709757274E-1
2.736995417E-1,4.874969870E-2,6.851343378E-2,-1.221571058E-1,1.483003110E-1
2.836655417E-1,6.534555852E-2,2.740107581E-2,-2.394674546E-1,2.497309007E-1
2.936325417E-1,-6.114111811E-2,6.013349667E-2,-2.184584087E-1,2.346877715E-1
3.035995417E-1,-1.283849752E-1,-5.853706062E-2,8.902385831E-3,1.413808396E-1
3.135655417E-1,-1.220901552E-1,-2.677476592E-1,8.399174452E-2,3.060219407E-1
3.235325417E-1,-1.188176148E-1,-4.191520992E-1,2.779304391E-1,5.167701973E-1
3.334995417E-1,-3.767160778E-1,-1.672379690E-1,7.535493922E-1,8.589064140E-1
3.434655417E-1,-6.409774809E-1,2.254632269E-1,1.399476103E0,1.555705358E0
3.534325417E-1,-7.001017481E-1,4.136492845E-1,1.697725031E0,1.882423563E0
3.633995417E-1,-6.426233259E-1,2.255923042E-1,1.613344447E0,1.751210133E0
3.733655417E-1,-4.314780298E-1,-3.898028773E-1,1.368551933E0,1.486961320E0
3.833325417E-1,-1.122210784E-1,-8.380673862E-1,4.928822726E-1,9.787152031E-1
3.932995417E-1,-9.437990785E-3,-8.735022439E-1,-5.902758354E-1,1.054286872E0
4.032665417E-1,-8.197343186E-2,-5.959590366E-1,-9.959521490E-1,1.163532337E0
4.132325417E-1,-1.020247038E-1,-2.436533301E-1,-1.222121866E0,1.250343089E0
4.231995417E-1,-5.393296301E-2,-1.108449362E-1,-1.618846677E0,1.623533162E0
4.331665417E-1,-1.356521141E-1,-1.796077538E-1,-2.010181525E0,2.022743237E0
4.431325417E-1,-1.730210846E-1,-2.215738052E-1,-2.243224059E0,2.260770980E0
4.530995417E-1,-2.022641064E-1,-2.583421205E-1,-2.372373850E0,2.394954927E0
4.630665417E-1,-3.768033475E-1,-1.808070177E-1,-2.569622653E0,2.603388661E0
4.730325417E-1,-5.249578319E-1,1.395291835E-2,-2.572442765E0,2.625497513E0
4.829995417E-1,-8.364757740E-1,1.414103790E-1,-2.527022179E0,2.665619948E0
4.929665417E-1,-1.029740504E0,4.529560223E-2,-2.518621484E0,2.721373068E0
5.029325417E-1,-6.623603830E-1,-4.283281347E-1,-2.204942338E0,2.341784999E0
5.128995417E-1,-8.564158027E-1,-6.950941926E-1,-2.304732674E0,2.555072732E0
5.228665417E-1,-1.583352908E0,-5.259007685E-1,-1.330338625E0,2.133864782E0
5.328335417E-1,-1.294354860E0,-1.122587637E0,-4.746009529E-2,1.714004074E0
5.427995417E-1,-1.359279126E0,-1.194392761E0,-1.217325979E-1,1.813569033E0
5.527665417E-1,-1.061321535E0,-6.708500285E-1,3.841111976E-1,1.313005930E0
5.627335417E-1,-8.563718024E-1,4.710443839E-2,2.098064591E0,2.266598006E0
5.726995417E-1,-1.723469445E0,-1.895848578E-1,1.426008428E0,2.244947523E0
5.826665417E-1,-3.016519498E0,-5.246988733E-1,9.514063060E-1,3.206224064E0
5.926335417E-1,-4.581250779E0,-1.723711520E0,6.533567673E-1,4.938209713E0
6.025995417E-1,-4.873646937E0,-1.001174297E0,1.958010328E-1,4.979269272E0
6.125665417E-1,-4.308716151E0,-4.192950636E-2,8.932171547E-1,4.400526086E0
6.225335417E-1,-3.646670128E0,-5.523452398E-1,2.177606020E0,4.283136265E0
6.324995417E-1,-2.543102022E0,-1.203264157E0,1.857129486E0,3.371074376E0
6.424665417E-1,3.150200589E0,9.162684868E-1,-5.040366551E0,6.014034142E0
6.524335417E-1,5.708695114E0,2.594173942E0,-6.647347473E0,9.138170866E0
6.624005417E-1,1.117162298E0,1.193538483E0,8.738143390E-1,1.853682068E0
6.723665417E-1,2.473019634E0,1.169060284E0,2.698718065E-1,2.748701302E0
6.823335417E-1,3.622566736E0,1.400748749E0,-1.091313220E0,4.034358853E0
6.923005417E-1,4.007276981E0,1.463590530E0,-2.250650023E0,4.823462612E0
7.022665417E-1,2.049494256E0,1.227162604E0,-1.146627295E-1,2.391548098E0
7.122335417E-1,1.111889791E0,1.078017236E0,1.202430198E0,1.960678058E0
7.222005417E-1,1.517121204E0,1.000839252E0,9.983395672E-1,2.073648439E0
7.321665417E-1,2.308220538E0,7.509337865E-1,1.748102303E0,2.991261484E0
7.421335417E-1,2.772239785E0,4.525452554E-1,3.613640084E0,4.576953713E0
