"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.088483333E-2,-1.458726816E-1,-1.077104193E0,1.374347693E0,1.752216843E0
3.085183332E-2,1.204339314E-1,-1.178589053E0,1.122811001E0,1.632262550E0
4.081983332E-2,2.384654611E-1,-1.108491755E0,1.068702621E0,1.558122280E0
5.078683334E-2,1.620507579E-1,-8.641345659E-1,1.331933160E0,1.595943276E0
6.075383333E-2,1.386765864E-1,-8.509591810E-1,1.374825411E0,1.622808563E0
7.072183333E-2,2.721370178E-1,-8.907274103E-1,1.233554342E0,1.545674672E0
8.068883332E-2,5.083401181E-1,-5.367241108E-1,9.633732176E-1,1.214318905E0
9.065683332E-2,4.768951079E-1,-6.057823589E-1,5.541587538E-1,9.494699230E-1
1.006238333E-1,4.471582156E-1,-4.988034555E-1,2.699027967E-1,7.222207950E-1
1.105918333E-1,4.889841532E-1,-3.372175513E-1,-6.970056474E-2,5.980629964E-1
1.205588333E-1,5.875171921E-1,-2.819650179E-1,-5.016478336E-1,8.223936231E-1
1.305268333E-1,6.950524581E-1,-1.354004645E-1,-8.504605597E-1,1.106668139E0
1.404938333E-1,6.553906482E-1,-1.110700540E-1,-1.214170822E0,1.384226948E0
1.504618333E-1,4.868874878E-1,-1.468230003E-1,-1.279488314E0,1.376846674E0
1.604288333E-1,5.130506350E-1,7.598895282E-3,-1.095399254E0,1.209619040E0
1.703968333E-1,4.235025738E-1,2.054828525E-2,-9.752436501E-1,1.063426932E0
1.803638333E-1,3.210238338E-1,-1.433901000E-1,-1.003506167E0,1.063316345E0
1.903318333E-1,1.964841338E-1,-1.577621175E-1,-7.184491414E-1,7.613567293E-1
2.002988333E-1,1.064960696E-2,-3.228557664E-1,-2.210680211E-1,3.914336853E-1
2.102668333E-1,1.077155064E-1,-1.122476833E-1,7.253237128E-2,1.716482380E-1
2.202338333E-1,1.583216961E-1,-4.590268940E-2,8.204228282E-2,1.841297165E-1
2.302018333E-1,1.403258666E-3,-5.850833617E-1,2.025943279E-2,5.854356958E-1
2.401688333E-1,5.287052393E-2,-3.509352654E-1,-1.987936378E-2,3.554518841E-1
2.501358333E-1,2.202961886E-1,-3.572648764E-2,3.798877537E-2,2.263844952E-1
2.601038333E-1,4.999654435E-2,-4.827838388E-1,2.893401110E-1,5.650642347E-1
2.700708333E-1,8.953483187E-2,-3.967458612E-1,3.042136735E-1,5.079071998E-1
2.800388333E-1,2.187932349E-1,-2.792628734E-1,-5.895162821E-3,3.548140147E-1
2.900058333E-1,3.805053293E-1,-3.494222984E-2,-2.382775462E-1,4.503126182E-1
2.999738333E-1,3.580160243E-1,5.891683728E-2,-3.432929546E-1,4.994964665E-1
3.099408333E-1,1.383961393E-1,-3.671029629E-1,7.504082680E-2,3.994361055E-1
3.199088333E-1,-5.735760413E-2,-5.709931800E-1,8.502015281E-1,1.025751307E0
3.298758333E-1,-2.254277781E-1,-9.555078354E-1,1.490170510E0,1.784494622E0
3.398438333E-1,-2.571993553E-1,-1.400093861E0,1.814163560E0,2.305993008E0
3.498108333E-1,-2.007808140E-1,-1.539210816E0,1.657496772E0,2.270854117E0
3.597788333E-1,-1.681168056E-1,-1.644726453E0,1.169030902E0,2.024851011E0
3.697458333E-1,-1.266414817E-1,-1.656876821E0,4.344083619E-1,1.717553344E0
3.797138333E-1,-2.484503127E-1,-1.371345294E0,-2.743759167E-1,1.420421634E0
3.896808333E-1,-6.130722289E-1,-1.230820330E0,-3.697761637E-1,1.423906828E0
3.996488333E-1,-8.808515362E-1,-2.987919889E-1,-1.536614944E0,1.796207552E0
4.096158333E-1,-1.332114132E0,-7.635732740E-3,-1.751243427E0,2.200327227E0
4.195838333E-1,-1.448498428E0,-8.718885586E-2,-1.579380895E0,2.144806192E0
4.295508333E-1,-1.044853948E0,-2.507490724E-1,-1.523496716E0,1.864306068E0
4.395190000E-1,-1.126130465E0,-7.055865826E-1,-9.337178940E-1,1.624146347E0
4.494860000E-1,-1.320775942E0,-8.572070771E-1,-2.345674878E-1,1.591940630E0
4.594530000E-1,-1.453503206E0,-7.584785950E-1,2.278309107E-1,1.655254745E0
4.694210000E-1,-1.533442830E0,-8.510455737E-1,5.469444591E-1,1.837082938E0
4.793880000E-1,-1.594212357E0,-7.898443754E-1,5.026237339E-1,1.848782788E0
4.893560000E-1,-1.603909526E0,-3.073150367E-1,-7.514256835E-3,1.633102802E0
4.993230000E-1,-1.569366369E0,-1.443296014E-1,-1.675888020E-1,1.584874708E0
5.092910000E-1,-1.499420221E0,-1.152271320E-1,-2.811873382E-1,1.529903464E0
5.192580000E-1,-1.421844918E0,-1.947245604E-1,-2.423530555E-1,1.455436577E0
5.292260000E-1,-1.437173540E0,-3.976360998E-1,-2.481967628E-1,1.511682469E0
5.391930000E-1,-1.511436103E0,-4.268300781E-1,-2.752301949E-1,1.594482571E0
5.491610000E-1,-1.629004899E0,-4.074538672E-1,-2.401129872E-1,1.696269395E0
5.591280000E-1,-1.720359603E0,-3.890194966E-1,-1.984205854E-1,1.774920861E0
5.690960000E-1,-1.784124952E0,-3.545239940E-1,-1.552108312E-1,1.825617569E0
5.790630000E-1,-1.873618049E0,-3.436459802E-1,-3.757906097E-1,1.941585882E0
5.890310000E-1,-1.946953974E0,-3.234014578E-1,-7.196302789E-1,2.100734638E0
5.989980000E-1,-1.885173170E0,-2.863606623E-1,-1.069353417E0,2.186183213E0
6.089660000E-1,-1.846028985E0,-2.616449203E-1,-1.481284497E0,2.381277984E0
6.189330000E-1,-1.896045629E0,-2.770264596E-1,-1.743666605E0,2.590773228E0
6.289010000E-1,-2.099470262E0,-1.466231717E-1,-1.792995470E0,2.764797731E0
6.388680000E-1,-2.035665445E0,-2.568066417E-1,-1.749287533E0,2.696273415E0
6.488360000E-1,-1.933042132E0,-4.325246814E-1,-1.562537405E0,2.522945229E0
6.588030000E-1,-2.026783817E0,-5.345349133E-2,-1.239535459E0,2.376374985E0
6.687710000E-1,-2.173257592E0,2.412020311E-2,-9.818410635E-1,2.384877821E0
6.787380000E-1,-2.259367490E0,-4.870775954E-1,-1.051818786E0,2.539352043E0
6.887050000E-1,-2.128374657E0,-6.418576330E-1,-1.264825251E0,2.557683095E0
6.986730000E-1,-1.956234821E0,-6.438538724E-1,-1.568669965E0,2.588846837E0
7.086400000E-1,-1.778145735E0,-4.532938452E-1,-1.763646541E0,2.545137852E0
7.186080000E-1,-1.517771122E0,-2.600533082E-1,-1.749011545E0,2.330300042E0
7.285750000E-1,-1.522460736E0,-2.203514448E-1,-2.009858174E0,2.531002041E0
7.385430000E-1,-1.171308465E0,-2.022497807E-1,-2.187186098E0,2.489307438E0
7.485100000E-1,-6.585071410E-1,7.292866632E-2,-1.840673667E0,1.956279579E0
7.584780000E-1,-5.460062002E-1,4.690754803E-1,-2.096530867E0,2.216663315E0
7.684450000E-1,-6.552269261E-1,6.613936190E-1,-2.778254231E0,2.930095633E0
7.784130000E-1,-5.684395547E-1,7.124591075E-1,-3.302628438E0,3.426087580E0
7.883800000E-1,-5.421851910E-1,8.049002248E-1,-3.661193735E0,3.787633657E0
7.983480000E-1,-8.293238984E-1,8.673167668E-1,-4.104679899E0,4.276495478E0
