"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.016295490E-1,8.897304535E-2,-1.448141098E0,-1.253662109E-1,1.456277971E0
1.066764760E-1,6.418161392E-1,-1.198705196E0,-9.180641174E-2,1.362809789E0
1.117234030E-1,6.946954727E-1,-9.472951293E-1,-4.126729965E-1,1.245097933E0
1.167703300E-1,6.172580719E-1,-7.709593177E-1,-6.820516586E-1,1.200241751E0
1.218172570E-1,5.399117470E-1,-5.874631405E-1,-7.551984787E-1,1.098609293E0
1.268641840E-1,4.242477417E-1,-3.322574496E-1,-7.768344879E-1,9.454379836E-1
1.319111110E-1,2.016301155E-1,-1.331573725E-1,-9.859952927E-1,1.015171073E0
1.369580390E-1,-1.362876892E-1,5.882018805E-2,-1.302941322E0,1.311369604E0
1.420049660E-1,-5.410089493E-1,2.467494011E-1,-1.675896645E0,1.778259124E0
1.470518930E-1,-1.015925884E0,3.395154476E-1,-2.113343239E0,2.369302806E0
1.520988200E-1,-1.454552412E0,3.841295242E-1,-2.494462967E0,2.913009390E0
1.571457470E-1,-1.803051949E0,4.178219140E-1,-2.660967827E0,3.241345593E0
1.621926740E-1,-2.040477514E0,4.397939444E-1,-2.616843700E0,3.347362865E0
1.672396010E-1,-2.157137871E0,4.251668751E-1,-2.442088127E0,3.286001383E0
1.722865280E-1,-2.123578072E0,4.034475684E-1,-2.137670040E0,3.040063645E0
1.773334550E-1,-2.028634548E0,3.649519682E-1,-1.686635494E0,2.663322617E0
1.823803820E-1,-1.753466606E0,4.328072965E-1,-1.111886978E0,2.120910169E0
1.874273090E-1,-1.183773994E0,6.344184875E-1,-3.079919815E-1,1.377921169E0
1.924742360E-1,-4.816620350E-1,9.758747220E-1,5.091190338E-1,1.201470757E0
1.975211640E-1,-2.819051743E-1,1.297783375E0,5.377578735E-1,1.432792988E0
2.025680910E-1,-1.363167763E-1,1.349878192E0,-4.719600677E-1,1.436488671E0
2.076150180E-1,1.983165741E-1,1.296981573E0,-1.656817436E0,2.113417773E0
2.126619450E-1,4.209866524E-1,1.278317809E0,-2.380290985E0,2.734430719E0
2.177088720E-1,3.472430706E-1,1.293663740E0,-2.538023949E0,2.869792534E0
2.227557990E-1,2.598216534E-1,1.832086682E0,-1.806650162E0,2.586123298E0
2.278027260E-1,6.170248985E-1,2.080571175E0,-2.095297813E0,3.016582348E0
2.328496530E-1,1.286216497E0,2.045661449E0,-1.077881813E0,2.645923817E0
2.378965800E-1,1.084905863E0,1.676971316E0,9.473323822E-1,2.210586386E0
2.429435070E-1,7.438066006E-1,1.288643599E0,1.986241341E0,2.481734322E0
2.479904340E-1,2.839248180E-1,7.392284870E-1,1.801605225E0,1.967956667E0
2.530373610E-1,-4.989075661E-2,4.556155801E-1,6.018371582E-1,7.564936281E-1
2.580842890E-1,-1.627900600E-1,2.601147890E-1,-1.090839386E0,1.133177335E0
