"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.009415120E-1,7.120193243E-1,1.079249382E-1,2.261915207E-1,7.548389991E-1
1.059887000E-1,6.673370600E-1,8.372497559E-2,2.665514946E-1,7.234627305E-1
1.110358870E-1,6.216700673E-1,9.295272827E-2,3.011112213E-1,6.969805233E-1
1.160830750E-1,5.543643236E-1,4.722309113E-2,3.325810432E-1,6.481974807E-1
1.211302620E-1,4.977546334E-1,1.508665085E-2,3.496866226E-1,6.084965211E-1
1.261774500E-1,4.278956056E-1,9.315490723E-3,3.669314384E-1,5.637553620E-1
1.312246370E-1,3.702111244E-1,-7.626533508E-3,3.542327881E-1,5.124405417E-1
1.362718250E-1,3.306453824E-1,-1.260566711E-2,3.127660751E-1,4.553107615E-1
1.413190120E-1,3.221737146E-1,5.603313446E-3,2.617750168E-1,4.151547410E-1
1.463662000E-1,3.276802301E-1,-2.162456512E-3,2.521982193E-1,4.135008480E-1
1.514133870E-1,3.143697977E-1,-2.394676208E-3,2.269344330E-1,3.877284373E-1
1.564605750E-1,3.334215283E-1,2.266073227E-2,2.075099945E-1,3.933749130E-1
1.615077620E-1,3.352478743E-1,4.733419418E-2,1.609277725E-1,3.748725265E-1
1.665549500E-1,3.501007557E-1,5.305814743E-2,1.389408112E-1,3.803817229E-1
1.716021370E-1,3.430203199E-1,4.519271851E-2,1.453657150E-1,3.752819111E-1
1.766493250E-1,3.169773221E-1,6.556701660E-2,1.772794724E-1,3.690551012E-1
1.816965120E-1,3.310844898E-1,3.877925873E-2,2.132549286E-1,3.957252012E-1
1.867437000E-1,3.239150643E-1,2.458524704E-2,2.204980850E-1,3.926127975E-1
1.917908870E-1,3.288003206E-1,-1.033306122E-2,2.186393738E-1,3.949931629E-1
1.968380750E-1,3.576213717E-1,-2.806138992E-2,2.102231979E-1,4.157815293E-1
2.018852620E-1,3.751713336E-1,-1.357078552E-3,2.305812836E-1,4.403670055E-1
2.069324500E-1,4.218860567E-1,3.170108795E-2,2.485065460E-1,4.906610920E-1
2.119796370E-1,4.573476315E-1,6.153488159E-2,2.758007050E-1,5.376052702E-1
